,Occupation,Hispanics,White,Black,Asian
1,Service occupations,5709,16669,3884,1291
2,Sales and office occupations,5132,23404,3729,1508
4,"Natural resources, construction, and maintenance occupations",4160,11574,1006,278
7,Construction and extraction occupations,2752,6766,540,121
9,Transportation and material moving occupations,2544,7683,2057,443
10,Sales and related occupations,2423,11362,1499,780
12,Building and grounds cleaning and maintenance occupations,1925,3974,723,158
13,Production occupations,1792,5904,994,424
14,Food preparation and serving related occupations,1789,4901,914,417
23,"Farming, fishing, and forestry occupations",450,941,45,17
